ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled,_enable_custom_addons,_enable_text_field_nombre_persona,_enable_text_field_fecha_evento,_enable_text_field_localidad,_enable_text_field_iglesia,_enable_text_field_hora_misa,_enable_text_field_restaurante,_enable_text_field_observaciones,_enable_text_field_ano_curso,_enable_text_field_hora_evento,_enable_text_field_inicial
22372,RECORDATORIO COMUNIÓN DE NIÑA MARCAPÁGINAS CON GUIRNALDA,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22398,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS DOBLE CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22415,RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22426,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA DOBLE CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22434,RECORDATORIO COMUNIÓN MARCAPÁGINAS CON GUIRNALDA DOBLE CON CARTULINA LUNARES,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22448,RECORDATORIO DE COMUNIÓN DE NIÑO MARCAPÁGINAS SIMPLE,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22462,RECORDATORIO COMUNIÓN DE NIÑO MARCAPÁGINAS CON GUIRNALDA,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22721,MINUTA- TARJETA MENÚ COMUNIÓN DE NIÑA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
22727,MINUTA- TARJETA MENÚ CON GUIRNALDA NIÑA,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
22733,MINUTA - TARJETA MENÚ GUIRNALDA NIÑO,4,NOMBRE,on,FECHA,on,IGLESIA,off,LOCALIDAD,off,,,,,,,,,,on,on,off,off,off,off,off,,off,off
22760,RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22770,RECORDATORIO DE COMUNIÓN DE NIÑA CON GUIRNALDA CLÁSICO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22778,RECORDATORIO COMUNIÓN CON GUIRNALDA CLÁSICA,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22789,RECORDATORIO DE COMUNIÓN DE NIÑA CLÁSICO CUADRADO,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
22810,RECORDATORIO DE COMUNIÓN CUADRADA DOBLE CON CARTULINA KRAFT,4,NOMBRE,on,FECHA,on,IGLESIA,on,LOCALIDAD,on,,,,,,,,,,on,on,on,on,off,off,off,,off,off
