"ID","Title","Sku","Product Type","_enable_custom_addons","_enable_text_field_nombre_persona","_enable_text_field_fecha_evento","_enable_text_field_localidad","_enable_text_field_iglesia","_enable_text_field_hora_misa","_enable_text_field_restaurante","_enable_text_field_observaciones","_enable_text_field_ano_curso","_enable_text_field_hora_evento","_enable_text_field_inicial","_text_field_option_nombre_persona","_text_field_option_fecha_evento"
"23326","LÁMINA DE HUELLAS CON ELEFANTE","AP-10519","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA BAUTIZO/COMUNIÓN"
"23329","INVITACIÓN DE COMUNIÓN  CON CORONA","AP-10522","variable","","yes","yes","yes","yes","no","yes","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23331","INVITACIÓN DE COMUNIÓN CON NIÑA Y CORONA","AP-10524","variable","","yes","yes","yes","yes","no","yes","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23453","LIBRO DE FIRMAS CON MARCO DE FLORES","AP-10526","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA",""
"23482","LIBRO DE FIRMAS CORONA DE FLORES SILVESTRES","AP-10537","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA COMUNIÓN"
"23497","LIBRO DE FIRMAS CON CORONA  AZUL Y VERDE","AP-10548","variable","","yes","no","no","no","no","no","yes","","no","","NOMBRE NIÑA/O",""
"23502","LIBRO DE FIRMAS CON CORONA DE MIMBRE CON HOJAS","AP-10555","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO",""
"23509","ETIQUETA CUADRADA CON FLORES SILVESTRES EN ROSA Y AZULES","AP-10562","variable","","yes","no","no","no","no","no","no","","no","","NOMBRE NIÑA",""
"23633","KIT PARA FIESTA - VIAJE","AP-10570","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA","FECHA FIESTA "
"23649","KIT PARA FIESTA - PIRATAS","AP-10575","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
"23661","KIT PARA FIESTA - OSO CUMPLEAÑOS","AP-10582","variable","","yes","yes","no","no","no","no","no","","no","","NOMBRE NIÑA/NIÑO","FECHA FIESTA "
