ID,Tipo,SKU,Nombre,Publicado,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Categorías Principales,Subcategorías,Etiquetas
21134,variable,AP-10188,ETIQUETA GUIRNALDA DE FLORES ROSAS,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21148,variable,AP-10191,ETIQUETA GUIRNALDA DE FLORES RUSTICAS AZULES,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21162,variable,AP-10194,ETIQUETA GUIRNALDA DE FLORES AZULES DELICADAS,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21175,variable,AP-10197,ETIQUETA CON FONDO DE FLORES ROSAS,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21672,variable,AP-10247,LIBRO DE FIRMAS BAUTIZO CON ANIMALES DEL BOSQUE,-1,0,0,,,,,0,Gracias por tu compra.,,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","BAUTIZO - BEBÉ, LIBROS DE FIRMAS","BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS > BAUTIZO","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21692,variable,AP-10256,"LÁMINA DE ÁRBOL DE HUELLAS CON ELEFANTE, LEON O JIRAFA",1,0,0,,,,,1,Gracias por tu compra.,,,"LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","LIBROS DE FIRMAS, BAUTIZO - BEBÉ","LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ > LÁMINAS - NATALICIOS","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21855,variable,AP-10296,LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA,1,0,0,,,,,0,Gracias por tu compra.,,,"LIBROS DE FIRMAS > COMUNIÓN, LIBROS DE FIRMAS, COMUNIÓN > LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS, COMUNIÓN","LIBROS DE FIRMAS > COMUNIÓN, COMUNIÓN > LIBROS DE FIRMAS","COMUNIÓN, Infantil, Personalizado, Recuerdo, Regalo"
22058,variable,AP-10319,ETIQUETAS CUADRADA CON GUIRNALDA,1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22086,variable,AP-10322,ETIQUETAS REDONDAS DE COMUNION CON GUIRNALDA,1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22332,variable,AP-10338,ETIQUETAS CON CORONA (TIPO TAG),1,0,0,,,,,0,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22594,variable,AP-10415,ETIQUETAS CUADRADA CON GUIRNALDA NIÑO,1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, BAUTIZO - BEBÉ","COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","COMUNIÓN, Etiquetas, FIESTAS, Infantil, Personalizado"
22887,variable,AP-10472,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑA,1,0,0,,,,,0,Gracias por tu compra.,,,"COMUNIÓN, COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","COMUNIÓN, DETALLES","COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niña vestida de comunión""","Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
22900,variable,AP-10475,DETALLE  COMUNIÓN LÁPIZ MONTADO EN CARTULINA PERSONALIZADA PARA NIÑO,1,0,0,,,,,0,Gracias por tu compra.,,,"COMUNIÓN, COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","COMUNIÓN, DETALLES","COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA, COMUNIÓN > COLECCIONES COMUNIÓN > COLECCIÓN ""niño vestido de comunión""","COMUNIÓN, Etiquetas, Infantil, Personalizado, Recuerdo, Regalo"
