"ID","Tipo","SKU","Nombre","Publicado","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal","Categorías","Etiquetas"
21009,"variable","AP-10177","LIBRO DE FIRMAS BAUTIZO CON ELEFANTE, LEON O JIRAFA",1,0,0,,,,,0,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ > LIBROS DE FIRMA, LIBROS DE FIRMAS, LIBROS DE FIRMAS > BAUTIZO, BAUTIZO - BEBÉ","Bautizo, Infantil, Personalizado, Recuerdo, Regalo"
21115,"variable","AP-10185","ETIQUETA REDONDA PARA BAUTIZO CON ANIMALES",1,0,0,,,,,1,,,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Fiesta, Infantil, Personalizado"
21134,"variable","AP-10188","ETIQUETA GUIRNALDA DE FLORES ROSAS",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21148,"variable","AP-10191","ETIQUETA GUIRNALDA DE FLORES RUSTICAS AZULES",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21162,"variable","AP-10194","ETIQUETA GUIRNALDA DE FLORES AZULES DELICADAS",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21175,"variable","AP-10197","ETIQUETA CON FONDO DE FLORES ROSAS",1,0,0,,,,,1,,,,"COMUNIÓN, BAUTIZO - BEBÉ, COMUNIÓN > ETIQUETAS, BAUTIZO - BEBÉ > ETIQUETAS","Bautizo, Etiquetas, FIESTAS, Infantil, Personalizado"
21192,"variable","AP-10199","RECORDATORIO DOBLE CON INICIAL CON CUADROS VICHY",1,0,0,,,,,0,"Gracias por tu compra.",,,"COMUNIÓN, COMUNIÓN > RECORDATORIOS","COMUNIÓN, Infantil, Personalizado, Recordatorio, Recuerdo, Regalo"
21210,"variable","AP-10201","CUADERNO CON INCIAL",1,0,0,,,,,0,,,,"COMUNIÓN, COMUNIÓN > DETALLES COMUNIÓN, DETALLES > PAPELERÍA, COMUNIÓN > DETALLES COMUNIÓN > PAPELERÍA, BAUTIZO - BEBÉ > DETALLES BAUTIZO > PAPELERÍA","COMUNIÓN, FIESTAS, Infantil, Personalizado"
21264,"variable","AP-10204","INVITACIÓN DE BAUTIZO CON BEBÉ",1,0,0,,,,,1,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > INVITACIONES","Bautizo, Infantil, Invitación, Personalizado, Recuerdo, Regalo"
21276,"variable","AP-10207","INVITACIÓN DE BAUTIZO CON ANIMALES",1,0,0,,,,,1,"Gracias por tu compra.",,,"BAUTIZO - BEBÉ, BAUTIZO - BEBÉ > INVITACIONES","Bautizo, Infantil, Invitación, Personalizado, Recuerdo, Regalo"
