ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
22027,RECORDATORIO DE COMUNIÓN DE NIÑA CON CIRCULO (apaisado 15 x 10 cm),4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22034,ETIQUETAS CUADRADA DE COMUNION CON NIÑA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22058,ETIQUETAS CUADRADA CON GUIRNALDA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22086,ETIQUETAS REDONDAS DE COMUNION CON GUIRNALDA,2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22131,LIBRO DE FIRMAS DE COMUNION  PARA NIÑO CON  CORONA VERDE,6,NOMBRE DE LA NIÑO,on,APELLIDOS DE LA NIÑO,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LUGAR DE LA COMUNIÓN,on,OBSERVACIONES SOBRE EL PEDIDO,on,,,,
22302,ETIQUETAS DE COMUNION CON NIÑA (TIPO TAG),2,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22332,ETIQUETAS CON CORONA (TIPO TAG),2,NOMBRE DE LA NIÑA ,on,FECHA DE LA COMUNIÓN,on,,,,,,,,,,,,
22359,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS SIMPLE,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22366,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS  CON GUIRNALDA Y NIÑA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22372,RECORDATORIO COMUNIÓN DE NIÑA MARCAPÁGINAS CON GUIRNALDA,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
22398,RECORDATORIO DE COMUNIÓN MARCAPÁGINAS DOBLE CON CARTULINA KRAFT,4,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,,,,,,,,
